Source,TestCaseID,File,Layer,Component,PriorityScore,Est,Owner,Jira/PR/SlackRef
Slack,ERR-BE-006,SLK-gen-8bb714b7726e.md,UI,core,2,S,,gen-8bb714b7726e
Slack,PAR-BE-002,SLK-gen-8beba3bfd16f.md,API,core,2,S,,gen-8beba3bfd16f
Slack,ERR-BE-006,SLK-gen-8beba3bfd16f.md,UI,core,2,S,,gen-8beba3bfd16f
Slack,PAR-BE-002,SLK-gen-8fdff21e2ba1.md,API,core,2,S,,gen-8fdff21e2ba1
Slack,ERR-BE-006,SLK-gen-8fdff21e2ba1.md,UI,core,2,S,,gen-8fdff21e2ba1
Slack,PAR-BE-002,SLK-gen-a8dca434506a.md,API,core,2,S,,gen-a8dca434506a
Slack,ERR-BE-006,SLK-gen-a8dca434506a.md,UI,core,2,S,,gen-a8dca434506a
Slack,PAR-BE-002,SLK-gen-b113d8f5f7bb.md,API,core,2,S,,gen-b113d8f5f7bb
Slack,ERR-BE-006,SLK-gen-b113d8f5f7bb.md,UI,core,2,S,,gen-b113d8f5f7bb
Slack,PAR-BE-002,SLK-gen-b1a00932c9a8.md,API,core,2,S,,gen-b1a00932c9a8
Slack,ERR-BE-006,SLK-gen-b1a00932c9a8.md,UI,core,2,S,,gen-b1a00932c9a8
Slack,PAR-BE-002,SLK-gen-b7c58d8a8e00.md,API,core,2,S,,gen-b7c58d8a8e00
Slack,ERR-BE-006,SLK-gen-b7c58d8a8e00.md,UI,core,2,S,,gen-b7c58d8a8e00
Slack,PAR-BE-002,SLK-gen-b88b23accc7d.md,API,core,2,S,,gen-b88b23accc7d
Slack,ERR-BE-006,SLK-gen-b88b23accc7d.md,UI,core,2,S,,gen-b88b23accc7d
Slack,PAR-BE-002,SLK-gen-d42a61cead0f.md,API,core,2,S,,gen-d42a61cead0f
Slack,ERR-BE-006,SLK-gen-d42a61cead0f.md,UI,core,2,S,,gen-d42a61cead0f
Slack,PAR-BE-002,SLK-gen-dd90ed7b88cf.md,API,core,2,S,,gen-dd90ed7b88cf
Slack,ERR-BE-006,SLK-gen-dd90ed7b88cf.md,UI,core,2,S,,gen-dd90ed7b88cf
Slack,PAR-BE-002,SLK-gen-ecceaac3b022.md,API,core,2,S,,gen-ecceaac3b022
Slack,ERR-BE-006,SLK-gen-ecceaac3b022.md,UI,core,2,S,,gen-ecceaac3b022
Slack,PERF-BE-003,SLK-gen-040900350093.md,UI,core,1,S,,gen-040900350093
Slack,PERF-BE-003,SLK-gen-0c457e0a44ad.md,UI,core,1,S,,gen-0c457e0a44ad
Slack,PERF-BE-003,SLK-gen-155bc4f14fd4.md,UI,core,1,S,,gen-155bc4f14fd4
Slack,PERF-BE-003,SLK-gen-15af3eb1abf2.md,UI,core,1,S,,gen-15af3eb1abf2
Slack,PERF-BE-003,SLK-gen-17eb6e3cec6f.md,UI,core,1,S,,gen-17eb6e3cec6f
Slack,PERF-BE-003,SLK-gen-24dba6c37962.md,UI,core,1,S,,gen-24dba6c37962
Slack,PERF-BE-003,SLK-gen-349b233e3996.md,UI,core,1,S,,gen-349b233e3996
Slack,PERF-BE-003,SLK-gen-582918b0dadf.md,UI,core,1,S,,gen-582918b0dadf
Slack,PERF-BE-003,SLK-gen-7287d6642308.md,UI,core,1,S,,gen-7287d6642308
